City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,namibe,-15.1961,12.1522,18.09,89,52,2.3,AO,1718819448
281,tsaratanana,-16.7833,47.65,18.6,70,1,4.33,MG,1718819448
282,uttarkashi,30.7333,78.45,21.04,48,98,1.84,IN,1718819448
283,kobryn,52.2138,24.3564,17.94,94,84,1.19,BY,1718819448
284,nadym,65.5333,72.5167,0.37,80,63,2.75,RU,1718819448
285,la toma,-33.0526,-65.6238,12.96,55,57,4.14,AR,1718819448
286,montecatini-terme,43.8835,10.7736,29.69,59,78,3.13,IT,1718819448
287,queenstown,-31.8976,26.8753,8.38,70,26,1.6,ZA,1718819412
288,bowling green,36.9903,-86.4436,30.32,54,0,2.57,US,1718819410
289,chinde,26.8418,88.0763,19.24,98,91,0.77,NP,1718819448
290,kill devil hills,36.0307,-75.676,29.0,62,0,5.66,US,1718819224
291,marquette,46.5333,-87.6335,24.69,76,99,4.47,US,1718819449
292,beidaihehaibin,39.8222,119.5181,20.1,84,38,1.04,CN,1718819449
293,kandyagash,49.4744,57.4233,22.94,63,93,4.02,KZ,1718819224
294,tabuk,17.4189,121.4443,24.59,93,100,0.8,PH,1718819449
295,pauini,-7.7136,-66.9764,35.74,35,100,1.23,BR,1718819449
296,lerwick,60.1545,-1.1494,11.0,88,100,10.94,GB,1718819449
297,reggane,26.7158,0.1714,45.76,7,74,2.1,DZ,1718819449
298,port blair,11.6667,92.75,26.02,94,40,2.57,IN,1718819450
299,huescar,37.811,-2.5412,24.59,24,7,3.74,ES,1718819450
300,page,36.9147,-111.4558,27.88,10,0,2.24,US,1718819450
301,constantia,44.1833,28.65,25.38,66,0,4.07,RO,1718819450
302,praia,14.9215,-23.5087,27.3,74,40,6.69,CV,1718819450
303,ugoofaaru,5.6667,73.0,28.55,79,100,6.49,MV,1718819450
304,manadhoo,5.7667,73.3833,28.6,79,90,6.43,MV,1718819450
305,zhezqazghan,47.7833,67.7667,21.32,24,0,5.0,KZ,1718819450
306,saint-henri,46.6921,-71.0671,33.37,58,64,3.09,CA,1718819450
307,howard springs,-12.497,131.047,20.95,96,0,2.33,AU,1718819450
308,najran,17.4924,44.1277,33.36,23,55,1.5,SA,1718819451
309,tocopilla,-22.092,-70.1979,18.66,73,2,1.8,CL,1718818913
310,yenotayevka,47.2456,47.0281,27.43,39,3,3.14,RU,1718819451
311,port de pollenca,39.9075,3.0814,25.71,67,60,3.22,ES,1718819451
312,sully-sur-loire,47.7637,2.3724,20.51,88,97,3.67,FR,1718819451
313,san jose,37.3394,-121.895,24.09,45,20,3.09,US,1718818912
314,ulsteinvik,62.3432,5.8487,14.31,53,97,4.02,NO,1718819451
315,ambasamudram,8.7,77.4667,27.71,72,100,3.88,IN,1718819451
316,kotel,42.8833,26.45,27.75,68,22,1.24,BG,1718819451
317,irbit,57.6705,63.071,17.43,99,87,3.21,RU,1718819452
318,luau,-10.7073,22.2247,19.33,31,0,0.98,AO,1718819452
319,praia da vitoria,38.7333,-27.0667,20.42,68,75,2.2,PT,1718819452
320,egersund,58.4513,5.9997,14.1,74,25,8.63,NO,1718819452
321,bangolo,7.0069,-7.475,25.34,92,92,0.69,CI,1718819452
322,swainsboro,32.5974,-82.3337,30.94,43,49,7.57,US,1718819452
323,burang,30.25,81.1667,6.56,71,81,3.18,CN,1718819452
324,celestun,20.8667,-90.4,28.76,79,100,4.39,MX,1718819452
325,seven pagodas,12.6264,80.1722,27.03,89,94,8.25,IN,1718819453
326,paramonga,-10.6667,-77.8333,19.99,74,94,3.8,PE,1718819453
327,scarborough,54.2797,-0.4044,17.59,72,100,5.36,GB,1718819250
328,ghadamis,30.1337,9.5007,36.59,7,0,4.69,LY,1718819453
329,zhangjiajie,29.1294,110.4783,24.61,97,100,0.76,CN,1718819453
330,burnie,-41.0667,145.9167,5.3,78,8,2.45,AU,1718819453
331,taseyevo,57.2169,94.8978,3.94,97,44,1.4,RU,1718819453
332,prainha,-1.8,-53.48,31.93,53,30,2.4,BR,1718819376
333,nokha,27.6,73.4167,36.96,33,36,7.33,IN,1718819454
334,novyy urgal,51.0736,132.5642,11.45,98,71,1.74,RU,1718819454
335,kitimat,54.0524,-128.6534,19.82,68,88,1.34,CA,1718819423
336,uturoa,-16.7333,-151.4333,25.12,62,15,4.89,PF,1718819454
337,tutayev,57.8853,39.5406,17.09,77,20,1.93,RU,1718819454
338,cody,44.5263,-109.0565,17.17,41,0,1.34,US,1718819454
339,princeville,45.7668,-61.2985,32.57,59,0,3.6,CA,1718819454
